phase,RV_RM,transit_sorted,RV_planet,RV_star,RV_tel
0.22473753252495554,2.6949828209353193,1,218.47108570678492,0,-47.18568065565637
0.22705731846013852,2.681001737465838,1,218.9575982076393,0,-47.191325800089714
0.22937710402823405,2.6664510891517423,1,219.3975940503989,0,-47.196957282217916
0.231696889963417,2.651333962610199,1,219.79097989910437,0,-47.202573319948065
0.23401667553151254,2.635653574192405,1,220.13767205616645,0,-47.20817213792417
0.23633646146669549,2.6194132501663754,1,220.43759697806053,0,-47.21375197522888
0.23865624740158897,2.602616443157463,1,220.69069088845126,0,-47.21931107994008
0.240976032969974,2.5852667243570875,1,220.896899989802,0,-47.224847712387
0.24329581890486746,2.567367774155615,1,221.05618053904135,0,-47.23036014808422
0.2456156044732525,2.5489234007618835,1,221.16849864738876,0,-47.235846672602335
0.24793539040814594,2.5299375167749902,1,221.23383048883926,0,-47.24130558882066
0.2502551759765309,2.510414161661518,1,221.25216216328752,0,-47.24673521078122
0.2525749619114244,2.4903574769046153,1,221.2234897820412,0,-47.25213387117462
0.2548947478463179,2.4697717265021657,1,221.14781942981398,0,-47.257499915646136
0.25721453341470285,2.4486612871840676,1,221.02516720553228,0,-47.262831706323865
0.25953431934959637,2.4270306371011396,1,220.8555591273737,0,-47.26812762452541
0.2618541049179814,2.404884378424565,1,220.6390312814201,0,-47.27338606587738
0.26417389085287485,2.382227209033197,1,220.375629599655,0,-47.27860544695302
0.2664936767877683,2.359063945802742,1,220.06541007112764,0,-47.28378420050727
0.26881346235615333,2.3353995134461436,1,219.70843866071968,0,-47.288920778405256
0.27113324829104685,2.3112389318919586,1,219.3047910926635,0,-47.29401365422812
0.2734530338594318,2.2865873415835742,1,218.8545532476515,0,-47.29906131878948
0.27577281979432533,2.2614499718550505,1,218.35782063449548,0,-47.30406228615691
0.2780926053627103,2.2358321709727638,1,217.81469893880853,0,-47.30901508881217
0.28041239129760376,2.2097393732327193,1,217.22530337282436,0,-47.313918283671875
0.28273217723278676,2.183177125942898,1,216.58975923314,0,-47.318770447373524
0.28505196280088224,2.1561510764538183,1,215.90820164990657,0,-47.32357017927531
0.28737174873606525,2.1286669577793256,1,215.18077520137854,0,-47.32831610373345
0.2896915343041607,2.100730617497518,1,214.407634656316,0,-47.33300686583707
0.29201132023934373,2.0723479817214856,1,213.58894402039238,0,-47.33764113744269
0.29433110617423724,2.0435250846078095,1,212.72487733972406,0,-47.34221761239345
0.29665089174233267,2.014268054112499,1,211.8156183287629,0,-47.34673500955105
